"SystemCodeNumber","t","Occupancy","Capacity","price","time","diff"
"BHMEURBRD01","2016-10-04T08:25:00.000000000","174","470","10.370212765957447","1752071930354","1"
"Others-CCCPS8","2016-10-04T08:25:00.000000000","478","1322","10.361573373676247","1752071930354","1"
"Others-CCCPS135a","2016-10-04T08:25:00.000000000","1467","3883","10.377800669585373","1752071930354","1"
"Others-CCCPS202","2016-10-04T08:25:00.000000000","665","2937","10.22642151855635","1752071930354","1"
"Others-CCCPS105a","2016-10-04T08:25:00.000000000","780","2009","10.388252862120458","1752071930354","1"
"Others-CCCPS135a","2016-10-04T07:59:00.000000000","1081","3883","10.278392995106875","1752071930354","1"
"BHMNCPHST01","2016-10-04T07:59:00.000000000","237","1200","10.1975","1752071930354","1"
"BHMNCPNST01","2016-10-04T07:59:00.000000000","249","485","10.51340206185567","1752071930354","1"
"BHMMBMMBX01","2016-10-04T08:25:00.000000000","302","687","10.439592430858806","1752071930354","1"
"BHMBCCTHL01","2016-10-04T08:25:00.000000000","129","387","10.333333333333334","1752071930354","1"
"BHMBCCTHL01","2016-10-04T07:59:00.000000000","120","387","10.310077519379846","1752071930354","1"
"BHMEURBRD01","2016-10-04T07:59:00.000000000","117","470","10.248936170212765","1752071930354","1"
"Others-CCCPS98","2016-10-04T07:59:00.000000000","588","3103","10.189494038027716","1752071930354","1"
"BHMMBMMBX01","2016-10-04T07:59:00.000000000","264","687","10.384279475982533","1752071930354","1"
"BHMBCCMKT01","2016-10-04T07:59:00.000000000","61","577","10.105719237435009","1752071930354","1"
"Shopping","2016-10-04T07:59:00.000000000","614","1920","10.319791666666667","1752071930354","1"
"Others-CCCPS8","2016-10-04T07:59:00.000000000","445","1322","10.33661119515885","1752071930354","1"
"Others-CCCPS105a","2016-10-04T07:59:00.000000000","709","2009","10.352911896465903","1752071930354","1"
"Broad Street","2016-10-04T07:59:00.000000000","178","690","10.257971014492753","1752071930354","1"
"Others-CCCPS119a","2016-10-04T07:59:00.000000000","195","2803","10.06956831965751","1752071930354","1"
"BHMNCPNST01","2016-10-04T08:25:00.000000000","267","485","10.550515463917526","1752071930354","1"
"Others-CCCPS202","2016-10-04T07:59:00.000000000","547","2937","10.186244467143343","1752071930354","1"
"Broad Street","2016-10-04T08:25:00.000000000","269","690","10.389855072463767","1752071930368","1"
"Shopping","2016-10-04T08:25:00.000000000","761","1920","10.396354166666667","1752071930368","1"
"BHMNCPHST01","2016-10-04T08:25:00.000000000","315","1200","10.2625","1752071930368","1"
"Others-CCCPS119a","2016-10-04T08:25:00.000000000","238","2803","10.084909026043524","1752071930368","1"
"Others-CCCPS98","2016-10-04T08:25:00.000000000","678","3103","10.218498227521753","1752071930368","1"
"Others-CCCPS8","2016-10-04T08:59:00.000000000","518","1322","10.391830559757942","1752071930376","1"
"BHMBCCMKT01","2016-10-04T08:25:00.000000000","64","577","10.110918544194108","1752071930376","1"
"Shopping","2016-10-04T08:59:00.000000000","958","1920","10.498958333333333","1752071930386","1"
"Others-CCCPS119a","2016-10-04T08:59:00.000000000","323","2803","10.115233678201927","1752071930386","1"
"BHMBCCTHL01","2016-10-04T08:59:00.000000000","155","387","10.400516795865633","1752071930386","1"
"Broad Street","2016-10-04T08:59:00.000000000","415","690","10.601449275362318","1752071930392","1"
"Others-CCCPS135a","2016-10-04T08:59:00.000000000","2007","3883","10.516868400721092","1752071930392","1"
"BHMNCPNST01","2016-10-04T08:59:00.000000000","278","485","10.57319587628866","1752071930408","1"
"BHMBCCMKT01","2016-10-04T08:59:00.000000000","80","577","10.138648180242635","1752071930408","1"
"BHMEURBRD01","2016-10-04T08:59:00.000000000","269","470","10.572340425531914","1752071930408","1"
"BHMMBMMBX01","2016-10-04T08:59:00.000000000","346","687","10.503639010189229","1752071930408","1"
"Others-CCCPS98","2016-10-04T08:59:00.000000000","792","3103","10.255236867547534","1752071930416","1"
"BHMNCPHST01","2016-10-04T08:59:00.000000000","441","1200","10.3675","1752071930416","1"
"BHMEURBRD01","2016-10-04T09:32:00.000000000","351","470","10.746808510638298","1752071930432","1"
"BHMBCCTHL01","2016-10-04T09:32:00.000000000","204","387","10.527131782945737","1752071930432","1"
