"SystemCodeNumber","t","Occupancy","Capacity","QueueSmoothed","TrafficLevel","IsSpecialDay","VehicleWeight","price","time","diff"
"BHMEURBRD01","2016-10-04T08:25:00.000000000","174","470","0.6931471805599453","0","0","0.5","11.091786356237419","1752076774866","1"
"Shopping","2016-10-04T08:59:00.000000000","958","1920","1.0986122886681096","0","0","1.0","11.798264477667388","1752076774866","1"
"Broad Street","2016-10-04T08:59:00.000000000","415","690","1.3862943611198906","0","0","0.5","11.669596455922264","1752076774866","1"
"Others-CCCPS119a","2016-10-04T08:59:00.000000000","323","2803","1.0986122886681096","0","0","1.0","11.41453982253598","1752076774866","1"
"Others-CCCPS8","2016-10-04T08:25:00.000000000","478","1322","1.0986122886681096","0","0","2.0","12.410879518010303","1752076774866","1"
"Others-CCCPS98","2016-10-04T09:32:00.000000000","932","3103","1.3862943611198906","0","0","1.0","11.743501676209316","1752076774866","1"
"Others-CCCPS8","2016-10-04T09:32:00.000000000","590","1322","1.3862943611198906","0","0","0.3","11.364440675264937","1752076774866","1"
"BHMNCPNST01","2016-10-04T08:59:00.000000000","278","485","1.0986122886681096","0","0","1.0","11.872502020622715","1752076774866","1"
"BHMNCPNST01","2016-10-04T09:59:00.000000000","327","485","1.3862943611198906","1","0","1.0","11.717373984683658","1752076774866","1"
"Broad Street","2016-10-04T08:25:00.000000000","269","690","1.0986122886681096","0","0","1.0","11.689161216797823","1752076774866","1"
"Others-CCCPS135a","2016-10-04T08:25:00.000000000","1467","3883","1.3862943611198906","0","0","0.5","11.445947850145316","1752076774866","1"
"Others-CCCPS105a","2016-10-04T09:32:00.000000000","1004","2009","1.3862943611198906","0","0","1.0","11.942898300520124","1752076774866","1"
"Others-CCCPS202","2016-10-04T09:59:00.000000000","1163","2937","1.3862943611198906","0","0","1.0","11.839129475418645","1752076774866","1"
"Others-CCCPS202","2016-10-04T08:25:00.000000000","665","2937","1.0986122886681096","0","0","1.0","11.525727662890404","1752076774866","1"
"Others-CCCPS135a","2016-10-04T08:59:00.000000000","2007","3883","1.0986122886681096","0","0","1.0","11.816174545055148","1752076774866","1"
"BHMBCCMKT01","2016-10-04T08:59:00.000000000","80","577","1.0986122886681096","0","0","1.0","11.437954324576689","1752076774866","1"
"BHMEURBRD01","2016-10-04T09:32:00.000000000","351","470","1.3862943611198906","0","0","0.3","11.664955691198243","1752076774866","1"
"BHMEURBRD01","2016-10-04T08:59:00.000000000","269","470","1.0986122886681096","0","0","2.0","12.62164656986597","1752076774866","1"
"Others-CCCPS135a","2016-10-04T09:59:00.000000000","2802","3883","1.3862943611198906","0","0","2.0","12.91475418545307","1752076774866","1"
"Others-CCCPS119a","2016-10-04T09:32:00.000000000","420","2803","1.0986122886681096","0","0","0.5","11.074145602057923","1752076774866","1"
"Shopping","2016-10-04T09:59:00.000000000","1254","1920","1.3862943611198906","0","0","2.0","12.846272180559946","1752076774866","1"
"Others-CCCPS105a","2016-10-04T08:25:00.000000000","780","2009","1.3862943611198906","1","0","1.0","11.431400042680405","1752076774866","1"
"Broad Street","2016-10-04T09:32:00.000000000","530","690","1.0986122886681096","0","0","1.0","12.06742208636304","1752076774866","1"
"Others-CCCPS98","2016-10-04T08:59:00.000000000","792","3103","1.3862943611198906","0","0","1.0","11.69838404810748","1752076774866","1"
"Shopping","2016-10-04T08:25:00.000000000","761","1920","1.0986122886681096","0","0","1.0","11.695660311000722","1752076774866","1"
"BHMEURBRD01","2016-10-04T09:59:00.000000000","397","470","1.0986122886681096","0","0","0.5","11.768986995397885","1752076774866","1"
"BHMNCPHST01","2016-10-04T08:25:00.000000000","315","1200","1.0986122886681096","0","0","0.5","11.186806144334053","1752076774866","1"
"Others-CCCPS135a","2016-10-04T07:59:00.000000000","1081","3883","1.0986122886681096","0","0","1.0","11.57769913944093","1752076774866","1"
"BHMNCPHST01","2016-10-04T07:59:00.000000000","237","1200","1.0986122886681096","0","0","0.5","11.121806144334055","1752076774866","1"
"BHMBCCMKT01","2016-10-04T09:59:00.000000000","150","577","1.0986122886681096","0","0","0.5","11.184271482288995","1752076774866","1"
"Shopping","2016-10-04T09:32:00.000000000","1121","1920","1.3862943611198906","0","0","0.3","11.502001347226612","1752076774866","1"
"BHMBCCMKT01","2016-10-04T09:32:00.000000000","107","577","1.0986122886681096","0","0","1.0","11.484748085408578","1752076774866","1"
"BHMNCPNST01","2016-10-04T09:32:00.000000000","302","485","1.3862943611198906","0","0","2.0","12.815827592931079","1752076774866","1"
"BHMNCPNST01","2016-10-04T07:59:00.000000000","249","485","1.0986122886681096","0","0","1.0","11.812708206189724","1752076774866","1"
"BHMMBMMBX01","2016-10-04T08:25:00.000000000","302","687","0.6931471805599453","0","0","1.0","11.53616602113878","1752076774866","1"
"BHMBCCTHL01","2016-10-04T09:32:00.000000000","204","387","1.0986122886681096","0","0","0.3","11.301437927279792","1752076774866","1"
"Broad Street","2016-10-04T09:59:00.000000000","600","690","1.0986122886681096","0","0","1.0","12.16887136172536","1752076774866","1"
"Others-CCCPS105a","2016-10-04T08:59:00.000000000","864","2009","1.0986122886681096","0","0","1.0","11.729370853144408","1752076774866","1"
"BHMNCPHST01","2016-10-04T09:59:00.000000000","638","1200","1.0986122886681096","0","0","1.0","11.830972811000722","1752076774866","1"
"BHMBCCTHL01","2016-10-04T08:25:00.000000000","129","387","1.0986122886681096","1","0","1.0","11.232639477667387","1752076774866","1"
"BHMBCCTHL01","2016-10-04T07:59:00.000000000","120","387","1.0986122886681096","0","0","1.0","11.6093836637139","1752076774866","1"
"BHMMBMMBX01","2016-10-04T09:32:00.000000000","414","687","1.0986122886681096","0","0","2.0","12.651926231670299","1752076774866","1"
"BHMBCCTHL01","2016-10-04T08:59:00.000000000","155","387","1.0986122886681096","0","0","1.0","11.699822940199688","1752076774866","1"
"BHMMBMMBX01","2016-10-04T08:59:00.000000000","346","687","1.0986122886681096","0","0","2.0","12.552945154523282","1752076774866","1"
"Others-CCCPS135a","2016-10-04T09:32:00.000000000","2502","3883","1.3862943611198906","0","0","0.5","11.712494334822114","1752076774866","1"
"BHMEURBRD01","2016-10-04T07:59:00.000000000","117","470","1.0986122886681096","0","0","1.0","11.548242314546822","1752076774866","1"
"BHMBCCTHL01","2016-10-04T09:59:00.000000000","236","387","1.0986122886681096","0","0","1.0","11.909125265781084","1752076774866","1"
"Others-CCCPS98","2016-10-04T07:59:00.000000000","588","3103","1.0986122886681096","1","0","1.0","11.088800182361771","1752076774866","1"
"BHMMBMMBX01","2016-10-04T07:59:00.000000000","264","687","1.0986122886681096","0","0","1.0","11.683585620316588","1752076774866","1"
"BHMBCCMKT01","2016-10-04T07:59:00.000000000","61","577","0.6931471805599453","0","0","1.0","11.202292827714981","1752076774866","1"
"Shopping","2016-10-04T07:59:00.000000000","614","1920","1.0986122886681096","0","0","0.3","11.09409781100072","1752076774866","1"
"Others-CCCPS119a","2016-10-04T08:25:00.000000000","238","2803","1.0986122886681096","1","0","1.0","10.984215170377581","1752076774866","1"
"Others-CCCPS202","2016-10-04T08:59:00.000000000","848","2937","1.0986122886681096","0","0","0.5","11.21303614092922","1752076774866","1"
"Others-CCCPS98","2016-10-04T09:59:00.000000000","1052","3103","1.3862943611198906","0","0","0.3","11.257173928868035","1752076774866","1"
"BHMNCPHST01","2016-10-04T09:32:00.000000000","552","1200","1.0986122886681096","0","0","0.5","11.384306144334055","1752076774866","1"
"Others-CCCPS8","2016-10-04T07:59:00.000000000","445","1322","1.3862943611198906","1","0","0.5","11.004758375718795","1752076774866","1"
"Others-CCCPS119a","2016-10-04T09:59:00.000000000","476","2803","1.3862943611198906","0","0","1.0","11.612965232646994","1752076774866","1"
"Others-CCCPS105a","2016-10-04T09:59:00.000000000","1142","2009","1.3862943611198906","0","0","1.0","12.011589191510668","1752076774866","1"
"Others-CCCPS105a","2016-10-04T07:59:00.000000000","709","2009","1.0986122886681096","0","0","1.0","11.652218040799958","1752076774866","1"
"Broad Street","2016-10-04T07:59:00.000000000","178","690","1.0986122886681096","0","0","1.0","11.557277158826809","1752076774866","1"
"BHMNCPHST01","2016-10-04T08:59:00.000000000","441","1200","1.0986122886681096","0","0","1.0","11.666806144334053","1752076774866","1"
"Others-CCCPS98","2016-10-04T08:25:00.000000000","678","3103","1.3862943611198906","1","0","0.5","10.886645408081698","1752076774866","1"
"Others-CCCPS8","2016-10-04T08:59:00.000000000","518","1322","1.3862943611198906","1","0","1.0","11.434977740317889","1752076774866","1"
"Others-CCCPS202","2016-10-04T09:32:00.000000000","1036","2937","1.3862943611198906","0","0","1.0","11.79588807262668","1752076774866","1"
"Others-CCCPS119a","2016-10-04T07:59:00.000000000","195","2803","0.6931471805599453","0","0","1.0","11.166141909937481","1752076774866","1"
"Others-CCCPS8","2016-10-04T09:59:00.000000000","657","1322","1.3862943611198906","0","0","2.0","12.690121461951776","1752076774866","1"
"BHMNCPNST01","2016-10-04T08:25:00.000000000","267","485","1.0986122886681096","0","0","2.0","12.599821608251581","1752076774866","1"
"BHMBCCMKT01","2016-10-04T08:25:00.000000000","64","577","0.6931471805599453","0","0","1.0","11.20749213447408","1752076774866","1"
"Others-CCCPS202","2016-10-04T07:59:00.000000000","547","2937","1.0986122886681096","0","0","0.5","11.110550611477398","1752076774866","1"
"BHMEURBRD01","2016-10-04T10:26:00.000000000","430","470","1.3862943611198906","0","0","1.0","12.358040797581221","1752076774868","1"
"BHMMBMMBX01","2016-10-04T09:59:00.000000000","485","687","1.3862943611198906","0","0","1.0","12.14911515727028","1752076774868","1"
